IBIS ID,OPEN DATA ID,CITY,STOP NAME,
IOV10001,2600100,Jesuborn,,
IOV10002,2600100,Jesuborn,,
IOV1001,2600010,Manebach, Sportplatz,
IOV1002,2600010,Manebach, Sportplatz,
IOV101,260000100,Ilmenau, Busbahnhof,
IOV10101,2600101,Pennewitz, Sorge,
IOV10102,2600101,Pennewitz, Sorge,
IOV10103,2600101,Pennewitz, Sorge,
IOV102,260000101,Ilmenau, Busbahnhof,
IOV10201,2600102,Herschdorf (Langer Berg),,
IOV103,260000102,Ilmenau, Busbahnhof,
IOV10301,2600103,Allersdorf,,
IOV104,260000103,Ilmenau, Busbahnhof,
IOV10401,2600104,Willmersdorf,,
IOV105,260000104,Ilmenau, Busbahnhof,
IOV10501,2600105,Abzweig nach Willmersdorf,,
IOV10502,2600105,Abzweig nach Willmersdorf,,
IOV106,260000105,Ilmenau, Busbahnhof,
IOV10601,2600106,Gillersdorf,,
IOV10602,2600106,Gillersdorf,,
IOV10701,2600107,Gehren, Amtsstra�e,
IOV10702,2600107,Gehren, Amtsstra�e,
IOV10801,2600108,Gehren, Gro�breitenbacher Stra�e,
IOV10802,2600108,Gehren, Gro�breitenbacher Stra�e,
IOV10901,2600109,M�hrenbach,,
IOV10902,2600109,M�hrenbach,,
IOV110,260000106,Ilmenau, Busbahnhof,
IOV11001,2600110,Hohe Tanne,,
IOV11002,2600110,Hohe Tanne,,
IOV1101,2600011,Manebach, Moosbach,
IOV1102,2600011,Manebach, Moosbach,
IOV111,260000107,Ilmenau, Busbahnhof,
IOV11101,2600111,Hotel Hohe Tanne,,
IOV11102,2600111,Hotel Hohe Tanne,,
IOV11201,2600112,Friedersdorf,,
IOV11301,2600113,Abzweig nach Friedersdorf,,
IOV11302,2600113,Abzweig nach Friedersdorf,,
IOV11401,2600114,Wildenspring,,
IOV11501,2600115,B�hlen,,
IOV11601,2600116,Neustadt am Rennsteig, Wasserturm,
IOV11602,2600116,Neustadt am Rennsteig, Wasserturm,
IOV11701,2600117,Neustadt am Rennsteig, Kaufhalle,
IOV11702,2600117,Neustadt am Rennsteig, Kaufhalle,
IOV11801,2600118,Kahlert,,
IOV11802,2600118,Kahlert,,
IOV11901,2600119,Altenfeld, Forsthaus,
